id,trade_date,stock_code,stock_name,is_traded,open_price,high_price,low_price,close_price,vwap,turnover_value,circ_market_cap,total_market_cap,days_since_ipo,report_quarter,report_year,net_profit,net_profit_ttm,net_profit_ttm_yoy,net_profit_single,net_profit_single_yoy,net_profit_single_qoq,operating_cash_flow,operating_cash_flow_ttm,operating_cash_flow_ttm_yoy,operating_cash_flow_single,operating_cash_flow_single_yoy,operating_cash_flow_single_qoq,net_assets,change_10d,change_20d,bias_5,bias_10,bias_20,amplitude_5,amplitude_10,amplitude_20,change_std_5,change_std_10,change_std_20,amount_std_5,amount_std_10,amount_std_20,kdj_k,kdj_d,kdj_j,dif,dea,macd,pe_inverse,pb_inverse,sw_level1,sw_level2,sw_level3,change_pct,next_period_changes,created_at
1,2006-12-29,600000.SH,浦发银行,1,16.87,21.53,16.12,21.31,20.982717901095953,8562442127.0,28390531775.4,92802550273.1,1652,,,,,,,,,,,,,,,17891227315.660034,0.1963226571767498,0.19845513963161054,0.09450436569080622,0.14971675209063928,0.19735917966006422,0.22678062678062694,0.2694575471698113,0.3356079404466492,0.03154826251697283,0.033821506122673275,0.031000772339771828,104738019.06592385,107614733.98699214,91100887.34172635,84.03531805149248,77.1913452722163,97.72326361004485,1.7888952937115974,1.3679322251585915,0.8419261371060118,,,,,,0.2661913250148549,"[0.007038948850305093, -0.029356943150046666, 0.0201632261161786, 0.07247058823529406, 0.03685827117156637, -0.017350825222175237, -0.02670111972437539, 0.0597345132743361, -0.007098121085594933, -0.03532380151387715, -0.06756756756756754, 0.02010285179990645, 0.03528872593950494, 0.10004426737494465, -0.006036217303822977, -0.013360323886639658, 0.09068526877308147, 0.022949586155003976, -0.03162927546892247, -0.050892518040258294]",2026-04-02 16:08:48
2,2006-12-29,600001.SH,邯郸钢铁,1,4.07,4.43,3.83,4.36,4.374394859128307,2235227664.0,6201292737.28,12165487096.2,2122,,,,,,,,,,,,,,,10797296063.090002,0.055825242718446466,0.0687960687960687,0.01964452759588431,0.043062200956938135,0.06276660572821502,0.1047381546134667,0.11027568922305808,0.15665796344647576,0.016713494381030005,0.01547542509203861,0.023812824932321133,55524830.328771025,59657778.928738914,51973079.17627266,80.75652339243861,75.1016713293828,92.06622751855022,0.21596601585378927,0.15025440157277736,0.13142322856202382,,,,,,0.07125307125307079,"[0.05733944954128445, 0.03253796095444672, 0.004201680672269115, 0.09832635983263582, 0.0019047619047618536, -0.03992395437262353, -0.06930693069306926, 0.038297872340425476, 0.05737704918032782, -0.050387596899224785, -0.01224489795918382, 0.016528925619834656, 0.04674796747967491, 0.10097087378640768, 0.09347442680776008, -0.050000000000000044, 0.04753820033955858, 0.01620745542949753, -0.019138755980861122, -0.0747967479674797]",2026-04-02 16:08:48
3,2006-12-29,600004.SH,白云机场,1,7.28,8.18,7.18,7.54,7.561399437783878,2319594512.0,3747078400.0,7540000000.0,850,,,,,,,,,,,,,,,4300928485.450001,-0.07430730478589431,0.012396694214876103,0.0029263101888801213,-0.00997899159663862,-0.017589576547231034,0.060109289617486406,0.09153005464480901,0.13927576601671343,0.021772218518731384,0.01594529805817358,0.02978636780637031,24560492.15091624,24797653.927982062,89637606.81141053,25.349960125722856,25.522402117077466,25.005076143013632,0.07186408880261119,0.13959703498440318,-0.13546589236358397,,,,,,0.038567493112948714,"[0.027851458885941538, 0.05548387096774188, 0.02444987775061147, 0.0011933174224343368, 0.07270560190703201, 0.014444444444444482, -0.013143483023001168, 0.029966703662597016, -0.016163793103448176, -0.03723986856516992, 0.0011376564277589818, 0.02954545454545454, 0.015452538631346435, -0.020652173913043415, 0.023307436182020025, 0.009761388286334105, -0.011815252416756294, 0.07826086956521738, -0.020161290322580627, -0.007201646090534974]",2026-04-02 16:08:48
4,2006-12-29,600005.SH,武钢股份,1,4.58,6.48,4.41,6.36,6.366454767468888,7272101219.75,18036496788.5,49849680000.0,1742,,,,,,,,,,,,,,,20535668158.050003,0.1688804554079697,0.35087719298245634,0.06283422459893062,0.13551151580075005,0.2168755381230274,0.28063241106719405,0.30909090909090975,0.46938775510204156,0.03983656866902914,0.04511523629085327,0.03902302599337633,112517214.63621971,98872490.62204772,93934986.84345087,85.72211771102003,81.12028251234915,94.92578810836181,1.8157598986610175,1.58272114102918,0.46607751526367514,,,,,,0.3947368421052633,"[0.07232704402515733, -0.008797653958944385, 0.03402366863905337, 0.10014306151645203, 0.005201560468140354, -0.040103492884864256, -0.03234501347708896, 0.06406685236768794, 0.007853403141361293, 0.03896103896103886, -0.015000000000000013, -0.026649746192893398, 0.0, 0.08735332464146017, 0.04676258992805771, -0.03436426116838498, 0.033214709371293116, 0.06659012629161865, 0.0010764262648010892, -0.1000000000000002]",2026-04-02 16:08:48
5,2006-12-29,600006.SH,东风汽车,1,2.98,3.45,2.82,3.22,3.226717508491115,2761445618.0,2569560000.0,6440000000.0,1747,,,,,,,,,,,,,,,4892667182.78,-0.050898203592814384,0.06734006734006726,-0.0018598884066954868,-0.00831536803202959,0.023034154090547876,0.053968253968253777,0.07619047619047659,0.2234042553191491,0.01982350631767425,0.017505309633665974,0.030569772556169363,12506222.034849867,37618531.77797913,100599722.39449155,34.05463163718151,46.183349982564614,9.797194946415303,0.0795514753902582,0.05043874993557274,0.05822545090937091,,,,,,0.08417508417508412,"[0.04968944099378869, 0.035502958579881616, 0.02571428571428558, 0.013927576601671321, 0.024725274725274637, -0.02680965147453085, 0.04132231404958686, 0.09523809523809512, -0.0024154589371979673, -0.029055690072639306, 0.02244389027431426, 0.08536585365853666, 0.038202247191011285, -0.0216450216450218, 0.0, -0.0508849557522123, 0.037296037296037365, 0.01348314606741563, -0.037694013303769425, -0.07834101382488479]",2026-04-02 16:08:48
6,2006-12-29,600007.SH,中国国贸,1,8.6,10.6,8.0,10.1,10.278302826013597,1564213208.0,2020000000.0,10173553593.4,1838,,,,,,,,,,,,,,,2570717377.0,0.07244785949506038,0.128175519630485,0.0527412966437355,0.08369098712446332,0.11423685807270112,0.23543123543123534,0.23543123543123534,0.32499999999999996,0.030217679333055473,0.03253231515191877,0.03612199574499042,34199951.943806306,31839277.348234475,26762421.919511322,73.11190927827795,68.25716983911089,82.82138815661207,0.5512897390114428,0.4947999851378396,0.11297950774720644,,,,,,0.16628175519630495,"[0.016831683168316847, -0.009737098344693274, 0.03048180924287114, 0.013358778625954137, 0.019774011299435124, -0.005540166204986208, -0.05571030640668517, 0.06588003933136677, 0.03874538745387457, -0.07548845470692711, 0.03746397694524495, 0.07129629629629619, 0.06309420916162489, 0.09186991869918693, 0.012658227848101333, -0.0007352941176470562, 0.058130978660779986, 0.07788595271210008, -0.03870967741935483, -0.09999999999999998]",2026-04-02 16:08:48
7,2006-12-29,600008.SH,首创股份,1,5.36,5.83,4.9,5.75,5.646665669987401,2666315284.0,4485000000.0,12650000000.0,1560,,,,,,,,,,,,,,,6901931558.82,0.056310679611650594,0.014925373134328401,0.036783267219618,0.05912691103333967,0.08001502629601842,0.09792843691148811,0.15217391304347894,0.18979591836734744,0.036538546808576905,0.029176166488029426,0.03122556988604466,113727756.8888305,91659863.05238901,79221265.16235304,77.79397792963941,72.97111883124575,87.43969612642672,0.28985691371744693,0.21520658059717676,0.14930066624054034,,,,,,0.07276119402985093,"[0.01565217391304352, 0.03253424657534243, 0.04477611940298498, 0.0, 0.012698412698412653, -0.026645768025078342, -0.06763285024154586, 0.05699481865284972, 0.0212418300653594, -0.03839999999999999, 0.016638935108153063, 0.04746317512274967, 0.04218749999999982, -0.014992503748125885, 0.03196347031963476, -0.04424778761061943, -0.015432098765432167, 0.043887147335423204, -0.021021021021021102, -0.04447852760736182]",2026-04-02 16:08:48
8,2006-12-29,600009.SH,上海机场,1,16.91,19.65,16.88,18.91,19.153606774901046,5866526127.0,17033760257.2,36438784251.7,2106,,,,,,,,,,,,,,,9983628191.0,0.044117647058823595,0.0936018957345972,0.020617443868739205,0.03656196897440123,0.05144980668790966,0.1026936026936025,0.14111498257839727,0.16584541038634915,0.018172519103144776,0.02095782918231443,0.0230707031750719,76153298.04486741,140268186.60921857,125045014.53849298,72.79270665784058,70.14467721457937,78.08876554436299,1.1302721134217535,1.1043484465650768,0.05184733371335337,,,,,,0.12659339761398902,"[0.05922792173453195, 0.029455816275586688, -0.005819592628516057, 0.023902439024390265, 0.09337779895188181, 0.0370370370370372, 0.020168067226890685, 0.00906095551894559, -0.017142857142857237, -0.01827242524916939, 0.021996615905245376, 0.040149006622516525, 0.04655789892558704, -0.04296577946768054, -0.015097338100913849, 0.008874546187979115, 0.039184326269491976, 0.010388611004232606, 0.03998476770753978, -0.06298059318930793]",2026-04-02 16:08:48
9,2006-12-29,600010.SH,包钢股份,1,2.58,3.26,2.53,3.12,3.116298569031235,5672320976.0,5753033744.64,10575954773.3,1369,,,,,,,,,,,,,,,7645408107.860001,0.1584905660377358,0.18992248062015493,0.0331125827814569,0.08786610878661083,0.13289760348583868,0.2255639097744362,0.2301886792452832,0.28853754940711474,0.04398151373723419,0.036547096548876036,0.03140556886895568,262627160.77716398,249521135.7592248,202183032.21159706,74.68477980132936,71.75889012348206,80.53655915702396,0.327359565254425,0.22460913203516358,0.20550086643852283,,,,,,0.20930232558139505,"[0.0608974358974359, 0.015105740181268867, 0.0029761904761904656, 0.0801186943620178, 0.01098901098901095, -0.029891304347826164, -0.07282913165266103, 0.06344410876132933, 0.03125, 0.0, -0.008264462809917328, 0.005555555555555536, 0.09944751381215466, 0.06030150753768848, -0.004739336492890933, -0.06428571428571428, 0.01781170483460559, 0.02750000000000008, -0.02676399026763998, -0.06000000000000005]",2026-04-02 16:08:48
10,2006-12-29,600011.SH,华能国际,1,5.73,6.56,5.68,6.45,6.4066386837733145,3061669321.0,4192500000.0,77757223188.0,1176,,,,,,,,,,,,,,,45171501422.0,-0.012658227848101222,0.09859154929577474,0.040322580645161255,0.03299167200512487,0.04648332927719623,0.09780775716694778,0.10623946037099508,0.14086956521739102,0.0242424610513743,0.019780382673747758,0.02143890910829679,100296485.8315785,76258456.14757866,76347440.13814287,54.31085341415305,48.5397017969419,65.85315664857535,0.35533323740204104,0.3883796974243961,-0.06609292004471012,,,,,,0.13556338028169002,"[0.032558139534883734, 0.10060060060060061, 0.027285129604365688, 0.03984063745019917, 0.0012771392081736277, -0.042091836734693855, -0.0279627163781625, 0.02876712328767117, -0.009320905459387352, 0.0026881720430107503, -0.017426273458445052, 0.03137789904502042, 0.0185185185185186, -0.0025974025974027093, 0.04947916666666674, -0.062034739454094434, -0.007936507936507908, 0.026666666666666616, -0.011688311688311637, -0.04467805519053891]",2026-04-02 16:08:48
